alpha_id,expression,settings_json,region,universe,delay,neutralization,decay,truncation,sharpe,fitness,turnover,returns,drawdown,margin,date_created,new_alpha_id,resim_status
vRL3pwGb,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.13,1.68,0.1687,0.1051,0.056,0.001245,2026-07-03T17:19:08Z,3Tr2bid464Rh9yE155ID906p,DONE
xAx0VZln,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.11,1.67,0.1679,0.1051,0.0581,0.001252,2026-07-03T13:31:21Z,2RiPty8UA4qM9Ea1hkcQ4qIj,DONE
gJ1ppMdQ,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.11,1.67,0.1679,0.1051,0.0581,0.001252,2026-07-03T13:36:15Z,2KrfvJ4KZ5jN8ZW126M9BXsW,DONE
leVb5dj8,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.13,1.68,0.1687,0.1051,0.056,0.001246,2026-07-03T13:41:16Z,2Ep1nt4JU5fXaiC1gNXgSHbi,DONE
MPpoz95n,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.02,1.79,0.1255,0.0983,0.0624,0.001567,2026-07-03T14:40:27Z,uvlhHYa5eG9IrD5KzkmGg,DONE
58wo5ng1,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.02,1.79,0.1255,0.0983,0.0624,0.001566,2026-07-03T14:35:21Z,4FHUaz2eX4mIbEEDQpzG00O,DONE
78wEm6zv,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,1.95,1.69,0.1026,0.0939,0.0663,0.001831,2026-07-03T17:24:34Z,19MdXO7EQ4roc4cfQNKorvV,DONE
1Y7QPNAM,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 63)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.01,1.75,0.1277,0.097,0.0607,0.001519,2026-07-03T16:13:36Z,321D9p8mU4OI8WvimdR0QNi,DONE
58woYo1X,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 63)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,1.94,1.67,0.1043,0.0929,0.0646,0.001781,2026-07-03T17:07:44Z,2KMFLj21k4zubJ21ci7zXLya,DONE
78wEe6v2,"(group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}",USA,TOP3000,1,MARKET,4,,2.0,1.89,0.1429,0.1279,0.0598,0.00179,2026-07-03T16:28:37Z,3JGo6O7VY5dcaeOtoihvrpX,DONE
