候选ID,策略家族,来源,分数,表达式,模拟设置JSON,变体序号,精确哈希,参数骨架,字段骨架,生成时间
near_pass_variant:primary,near_pass_variant,near_pass,3.75,"(group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,4d1c2ba4d9ecf31c0f17138d4d5086868b62fbea31eff60a45050a81cc1dd94c,"add(mul(#,sub(group_rank(div(ts_delta(anl4_ebitda_value,#),cap),industry),#)),mul(#,sub(ts_rank(div(vwap,close),#),#)))","add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),industry),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#)))",2026-08-02T11:01:56.204483+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.7399999999999998,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,578e51cd0b072663024124d5b4bb62f3c93a8594ac4987d16c33c28e0c4636dc,"trade_when(div(ts_mean(volume,#),adv20),add(mul(#,sub(group_rank(div(ts_delta(anl4_ebitda_value,#),cap),industry),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),neg(#))","trade_when(div(ts_mean(FIELD,#),FIELD),add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),industry),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),neg(#))",2026-08-02T11:01:56.204483+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.77,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,a1fcaab498235d3611c5404474ddf8e618934575694d73579be4634a757135f1,"mul(add(mul(#,sub(group_rank(div(ts_delta(assets,#),cap),sector),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),div(ts_mean(volume,#),adv20))","mul(add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),sector),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),div(ts_mean(FIELD,#),FIELD))",2026-08-02T11:01:56.204483+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.69,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,d98066212c40a6969a77fe4c629213682acd8ca62d36c6a712ad63d556904760,"mul(add(mul(#,sub(group_rank(div(ts_delta(anl4_ebitda_value,#),cap),industry),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),div(ts_mean(volume,#),adv20))","mul(add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),industry),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),div(ts_mean(FIELD,#),FIELD))",2026-08-02T11:01:56.204483+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.6799999999999997,"(group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,1247c731ac6bf1de0dc92a814792eccb3e73c6c25f205d0cd52e50ed1081bd57,"add(mul(#,sub(group_rank(div(ts_delta(assets,#),cap),sector),#)),mul(#,sub(ts_rank(div(vwap,close),#),#)))","add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),sector),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#)))",2026-08-02T11:01:56.204483+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.53,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,ec21a48ce0303effff5b09aa19634f83ecc672c7e956922606851af265c307d2,"trade_when(div(ts_mean(volume,#),adv20),add(mul(#,sub(group_rank(div(ts_delta(assets,#),cap),sector),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),neg(#))","trade_when(div(ts_mean(FIELD,#),FIELD),add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),sector),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),neg(#))",2026-08-02T11:01:56.204483+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.67,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,503f9a97638b9e790bcde8f9756cdbebd08dbc0269dcc73ee869e264ebb86f33,"trade_when(div(ts_mean(volume,#),adv20),add(mul(#,sub(group_rank(div(ts_delta(assets,#),cap),sector),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),neg(#))","trade_when(div(ts_mean(FIELD,#),FIELD),add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),sector),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),neg(#))",2026-08-02T11:01:56.204483+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,0d45f3475985221f2b1c4ec5071172cbd3502c6e955d6f051c2f98323e06cacb,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy1,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-02T11:01:56.204483+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,cbb5dc855e318775ad13446774f0aa92e2caefc3e95c348acce5b246ce0542d4,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy2,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-02T11:01:56.204483+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fq1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,20aec875d765909b5575efe470e08dff69a04f15a0be9c25c4504c290146f832,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fq1,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-02T11:01:56.204483+00:00
