alpha_id,expression,family,sharpe,fitness,turnover,region,universe,neutralization,failure_reasons
vRL3pwGb,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,2.13,1.68,0.1687,,,,
xAx0VZln,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,2.11,1.67,0.1679,,,,
gJ1ppMdQ,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))",near_pass_variant,2.11,1.67,0.1679,,,,
leVb5dj8,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))",near_pass_variant,2.13,1.68,0.1687,,,,
MPpoz95n,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))",near_pass_variant,2.02,1.79,0.1255,,,,
58wo5ng1,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,2.02,1.79,0.1255,,,,
78wEm6zv,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,1.95,1.69,0.1026,,,,
1Y7QPNAM,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 63)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,2.01,1.75,0.1277,,,,
58woYo1X,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 63)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,1.94,1.67,0.1043,,,,
78wEe6v2,"(group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3",near_pass_variant,2.0,1.89,0.1429,,,,
,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(anl4_ebitda_value, 252)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 63)-0.5)*0.3),-1)",near_pass_variant,1.71,1.68,0.0816,,,,
,"(group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 63)-0.5)*0.3",near_pass_variant,1.86,1.82,0.106,,,,
gJ1ppMdQ,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))",near_pass_variant,2.11,1.67,0.1679,USA,TOP3000,MARKET,
vRL3pwGb,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,2.13,1.68,0.1687,USA,TOP3000,MARKET,
xAx0VZln,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",near_pass_variant,2.11,1.67,0.1679,USA,TOP3000,MARKET,
