2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T14:14:07Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:14:53Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:15:38Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:16:24Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:17:10Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:17:55Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:18:41Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:19:27Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:20:13Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:20:58Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:21:44Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:22:30Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:23:15Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:24:01Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:24:47Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:25:33Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:26:18Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:27:04Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:27:50Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:28:35Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:29:21Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:30:07Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:30:53Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:31:38Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T14:32:24Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
