cluster_id,behavior_signature,medoid_legacy_id,member_count,selected_seed,recheck_candidates_selected,selection_reason
cluster_00053ed36a13750a1c0f,"operating_expense::group_neutralize(ts_zscore(field/cap,#)*rank(ts_mean(volume,#)/field#),sector)",legacy_002a4356e45f26195c886ac7,3,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00259c193129309711a7,"three_month_change_gross_profit_to_assets::group_neutralize(ts_rank(field/cap,#),sector)",legacy_14be0ae50eb83143c4a3ea70,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0025f4957a2ceff12356,"mdl77_deepvaluefactor_ebitdap::(group_rank(field#field/cap,subindustry))*rank(volume/(#+field#))",legacy_8eac327e76dbdef513184a39,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0028c3530ffbe7a88e19,"fnd6_cptmfmq_atq::ts_rank((field/cap),#)",legacy_d8544481db2c70b93070397a,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00291a022a08e55f47a8,"mdl177_2_globaldevnorthamerica_v502_ebitdap::group_neutralize(ts_zscore(ts_delta(field#field#field,#)/cap,#)*rank(ts_mean(volume,#)/field#),sector)",legacy_8224842072db96d8b80b8944,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0030c19b401279188051,"capex_to_total_assets|recurring_assets_fair_value_lvl2::group_neutralize(rank(field/cap)rank(field/cap),industry)",legacy_cc643d4f47ed1f4674009427,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00348b135b190e8185aa,"fnd6_newq_xoptepsqp::group_neutralize(ts_zscore(field/cap,#)*rank(ts_mean(volume,#)/field#),sector)",legacy_9ce5d6cea516b9fbce12f104,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_003be310cf12af43da17,"pretax_income_max_guidance_qtr::group_neutralize(rank(ts_mean(field,#)),subindustry)",legacy_7275d10b4536c0ef39c6e2dc,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_005a6f126242390ee8e8,"forward_sales_to_price::group_rank(field/cap,subindustry)",legacy_96130f04281aff303e505b18,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_005da34014b5ca5aa83a,"earnings_certainty_rank_derivative::group_neutralize(ts_zscore(field,#),market)",legacy_27db226f34bb40f455dba231,4,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0062041824bef1a01435,"intangible_assets_amortization::group_neutralize(ts_zscore(field/cap,#),sector)",legacy_4b744bda4d00d9603c7a9ced,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0068233266b0da3c4d55,"fnd6_newa1v1300_ebitda|operating_income::group_neutralize(rank(field#field/cap)rank(field/cap),sector)",legacy_5dc83ab44c401f265627bb12,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_006969bfe3ade5ebe56b,"fnd6_newa2v1300_spceeps::group_neutralize(ts_zscore(field#field/cap,#)+(ts_rank(vwap/close,#)),market)",legacy_61a2f78365cc4779eb96bca5,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_007c429ed6d545a8907f,"capex_to_total_assets::group_neutralize(ts_delta(field,#)/cap,industry)",legacy_0cc1aff665173b4cb8bacea8,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00813fd510f278b8f981,"trailing_twelve_month_accruals::group_neutralize(rank(ts_delta(field,#)),market)",legacy_86b3ab6a153919b4f1119285,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_009eb716ecb59f774f68,"mdl177_2_deepvaluefactor_ttmfcfp::ts_rank(field#field,#)",legacy_72aef91d490d1085336ab923,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00a63e9da9e29d93ef22,"min_ebit_guidance::group_neutralize(rank(ts_delta(field,#)/cap)rank(ts_delta(close,#)),sector)",legacy_6ee6c333d80a6b4270ccd301,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00a9da1f68a7d3630037,"annualized_pd_1_month_jm5::group_neutralize(ts_zscore(field,#)*rank(ts_mean(volume,#)/field#),market)",legacy_334930c31673f43ec415585c,3,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00afb1b4fdd5b10c1869,"ttm_operating_income_to_ev::ts_rank(field,#)",legacy_3df703fa51fbb8dc45918fa7,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00bdd0d765f18a56c22b,"fnd6_mrcta|retained_earnings::group_rank((field/cap)-(field/cap),industry)",legacy_89328a8e7de75824c1611dee,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00c0ef1a96cba3bfe100,"mdl177_2_valueanalystmodel_qva_yoychgshares::group_neutralize(rank(ts_delta(field#field,#)),sector)",legacy_93964a5e3450ab9e0aa97cb8,3,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00c26faf0a150b2cd52b,"fnd6_loxdr::group_neutralize(ts_zscore(field/cap,#),subindustry)",legacy_fcfbf18e3bbf08f334f73150,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00c40d0c299521f9ad8c,"fnd6_loxdr::group_rank((field/cap),subindustry)",legacy_1a4ea8e90cb4958d1480c2cc,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00c695f069c7162d7699,mdf_rds::rank(field),legacy_93caedcd4a6cf9288becff95,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00c9a389978feef1e9e9,"three_month_revision_fy2_eps::(group_rank(ts_delta(field,#)/cap,industry))*rank(ts_mean(volume,#)/field#)",legacy_d8415644b0a8f11dcc75620a,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00cf786b603730867bf9,"mdl77_2liquidityriskfactor_nlassets::group_neutralize(ts_rank(field#field/cap,#),subindustry)",legacy_f30f38b38b08159219038723,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00d1eaddbea02f8d458a,"recurring_assets_fair_value_lvl3::group_neutralize(ts_rank(field/cap,#),industry)",legacy_946873057d0b7e277ef6bbbb,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00d51fe87dc8911d92f9,"sbp_equity_nonvested_count::group_neutralize(-ts_zscore(ts_delta(field,#),#)*rank(ts_mean(volume,#)/field#),subindustry)",legacy_3ad7600f2da36d3cccc32941,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00d5b36e9d0575eb7a7f,"fnd6_ds::ts_rank((field/cap),#)",legacy_59bce8d57c612e6ec4fc7a05,3,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00e3f222fe9bea09f81b,"mdl177_earningsqualityfactor_ttmaccu::ts_rank(field#field/cap,#)",legacy_e026b9ab51e3c41c1ad35711,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00ef27068366ce0fdfe3,"ebitda_reported_value::(group_rank(field/cap,subindustry))*rank(ts_mean(volume,#)/field#)",legacy_d9ff70d2619729c0dfb6f1fa,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00f1d1510c7d46469978,"earnings_per_share_estimate_count::group_rank(field/cap,subindustry)",legacy_f4f8940388016f5b20d9d0ef,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00fc12e4c225323595bc,"min_shareholders_equity_guidance::group_neutralize(ts_zscore(field,#),industry)",legacy_c81725ff28c66de050222ce3,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_00fc86557ec03f04918a,"median_sales_estimate::group_rank(ts_mean(field,#),subindustry)",legacy_459beea8a177294ccc8d04bb,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01063e41859ce78e067d,"implied_volatility_put_120::group_rank(field#/cap,subindustry)",legacy_c5bd03fbed7fa32c300f706a,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_010762e558263f82fed4,recurring_assets_fair_value_lvl3::rank(field/cap),legacy_b40e130b90d68a11a019457c,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0112d2dcd0e734660efe,"ebitda_reported_value::group_rank(field/cap,industry))+(rank(ts_delta(close,#))",legacy_07a2d45654cbcc2dca5491ff,12,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0115734fb0ffe81e27c5,"max_net_debt_guidance::ts_rank(field,#)",legacy_0f832da8130ad8d7fc0b6bdc,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01189759e5f1bb426155,"cashflow_fin::ts_zscore((field/cap),#)",legacy_78afc9e6182d41f5f08c9ce8,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01197df4a0944e7d129c,"cashflow_dividends::group_neutralize(ts_zscore(field,#),subindustry)",legacy_dcc4e30bbcd10f2d26203dac,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_011b439e1ab19f87db7e,"mdl177_industryrrelativevaluefactor_curindebitdap__alt::(group_rank(field#field/cap,subindustry))*rank(volume/(#+field#))",legacy_e318d7819c1feb0ed292ac09,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_011fed5aae5b8839c264,"mdl177_2_globaldevnorthamerica_v502_ebitdap::group_neutralize(ts_zscore(field#field#field/cap,#)+(ts_rank(vwap/close,#)),market)",legacy_6b24baba5536864252970146,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_012914b88c68432d665a,"-::(group_rank(vwap/close,sector))*rank(ts_mean(volume,#)/(#+field#))",legacy_0005d8ea603b4bfd0c79049d,4,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_012c5c4d2206e9e04d82,"net_income_total_2::group_rank(ts_mean(field,#),subindustry)",legacy_5cc23b290b900bd14cad6e8a,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_012c7a80bb3feb79c1be,"max_total_assets_guidance|mdl77_2liquidityriskfactor_nlassets::group_neutralize(rank(field#field/cap)rank(field/cap),subindustry)",legacy_6efe2ce384f40c81a05f0387,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0138b527bde1a3281bc2,"equity|income::group_rank((field/cap)-(field/cap),industry)",legacy_bbd5f27fed4d794d46e9bcf9,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0140f957367625342f6f,"systematic_risk_last_90_days::group_neutralize(ts_zscore(field#field,#)+ts_decay_linear(zscore(vwap/close),#),market)",legacy_718ee52850edcae8657cc6f8,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_014298a566bb7aee0d9e,"mdl77_liquidityriskfactor_nlassets::group_rank(field#field/cap,subindustry)",legacy_450a331d11c9e86d6de9851d,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_014bee01a2592b1f98a9,"fnd6_newqv1300_drltq::group_neutralize(ts_rank(ts_delta(field#field,#)/cap,#),market)",legacy_c7e1bd908788714509c2bd26,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_015161191d39d7ba6960,assets|liabilities|operating_income::rank((field/field)/(field/field)),legacy_a3a86a31a792efe472e8c833,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0151f8fbc15d97bfd297,"time_weighted_ebitda_to_enterprise_value_2::group_neutralize(ts_zscore(ts_delta(field,#)/cap,#)*rank(ts_mean(volume,#)/field#),sector)",legacy_304264bb9470bcb7e0662714,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
