family,historical_alpha_count,simulation_count,basic_gate_pass_count,quality_buffer_pass_count,final_pass_count,passes_per_100_simulations,note
UNCLASSIFIED,11443,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
alpha_models_template,854,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_analyst,56,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_analyst_delta,95,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_analyst_hybrid,20,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_analyst_liquid,73,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_analyst_ts,84,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_delta_liquid,308,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_delta_ts_rank,185,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_hybrid_delta_pv,103,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_hybrid_level_liq,19,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_hybrid_lowvol,39,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_hybrid_z_pv,272,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_level_liquid,341,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_pv_slow,3,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_pv_vol,3,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_regime_shift,225,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_ret_vol_corr,7,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_spread,112,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_ts_rank,19,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_vol_liq,3,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_vol_price_div,3,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_vol_scaled,179,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_vol_scaled_rank,173,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_vwap_dev,3,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_vwap_vol,2,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
arch_zscore,74,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
formulaic_fund_corr,64,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
formulaic_fund_mr,34,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
formulaic_price_liq_corr,1,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
formulaic_range_mr,1,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
formulaic_vwap_distance,1,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
formulaic_vwap_mr,1,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
near_pass_variant,3359,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
pass_fundamental_delta,164,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
pass_fundamental_delta_liquid,103,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
pass_fundamental_level,28,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
pass_fundamental_liquid,101,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
pass_fundamental_ts,36,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
pass_pv_vwap,9,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
unknown,30,0,0,0,0,N/A,Shadow Run blocked before seed selection and simulation
