候选ID,策略家族,来源,分数,表达式,alpha_id,status,sharpe,fitness,turnover,returns,margin,drawdown,error,处理时间
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:50:53.026552+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:50:55.735299+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:50:58.238411+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fp4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:00.741944+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fp5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:03.245485+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy1/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:05.748573+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fp5/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:08.251348+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fp3/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:10.754607+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy3/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:13.258142+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy2/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:51:15.762121+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:53:06.403956+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:53:09.572577+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,a single recovery probe is already in flight,2026-08-02T11:53:12.576133+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",N1b1gxxp,COMPLETE,0.2,0.06,0.1354,0.0106,0.000157,0.1483,,2026-08-02T12:01:43.295635+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",3qpqaZ8Q,COMPLETE,0.24,0.1,0.1567,0.026,0.000331,0.2722,,2026-08-02T12:02:58.900194+00:00
arch_hybrid_z_liq:primary,arch_hybrid_z_liq,proven,11.35,"group_neutralize(ts_zscore(anl14_median_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",leWeQ6Ne,COMPLETE,0.39,0.18,0.1473,0.0309,0.000419,0.2327,,2026-08-02T12:04:20.337863+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_decrease_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",0mpme7gq,COMPLETE,0.36,0.05,1.707,0.0368,4.3e-05,0.4144,,2026-08-02T12:06:36.992089+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_increase_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",78z8aZ3L,COMPLETE,0.08,0.01,1.7304,0.0082,9e-06,0.2296,,2026-08-02T12:08:05.938975+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_decrease_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",6XpXaMk5,COMPLETE,0.54,0.1,1.7306,0.0587,6.8e-05,0.1816,,2026-08-02T12:09:26.609271+00:00
