候选ID,表达式,精确哈希,策略家族,生成时间,提交时间,alpha_id,sharpe,status,submitted,description_length,error
candidate_931477bd4a98e2074cb6,"rank(ts_mean(ts_delta(low,1),20))",d411e7e28fffcc6950293b1533c8cf01ba1b0cbdb923f6209f4d4c1f24eda41b,fundamental,2026-08-01T06:41:29.409101+00:00,2026-08-01T06:42:12.110853+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_092e956b0ebe68211f77,"rank(ts_delta(ts_delta(high,10),20))",54bf56c0709cfca2e73e3ae856fa563e5e96ea82509c5677a6d102a7410803d1,fundamental,2026-08-01T06:41:29.409101+00:00,2026-08-01T06:42:12.110853+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_29b43a1187371b14cb59,"rank(ts_ir(high,10))",00bd8c6791c5c6d7cd1604b77b1e5197319cef624f5b9c36fe9e3c600bdf6c5d,fundamental,2026-08-01T06:41:29.409101+00:00,2026-08-01T06:42:12.110853+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_7b8d30e55125e1740bfd,"-rank(ts_delta(low,20))",5d01354724175fed599e6a0d861c2405686c5c35da56c569f9f55bdd1aab0273,fundamental,2026-08-01T06:41:29.409101+00:00,2026-08-01T06:42:17.112107+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_b20a34cd0e7a22b4b0bb,"rank(open/ts_mean(open,10))",753b2a248b21e5b6deea7326be2d233f5b62a9ad1436851b5d3341d017313dac,fundamental,2026-08-01T06:41:29.409101+00:00,2026-08-01T06:42:17.112107+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_49c2adaf5345d6e60f68,"rank(ts_rank(anl14_mean_revenue_fy5,63))",ee0d403b884d7b0fee0e60523a6acaebd4ba4cce35e3159cdf4475fc798775d7,fundamental,2026-08-01T06:41:39.128461+00:00,2026-08-01T06:42:17.112107+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_7d06a8a7aa324894fd75,"rank(ts_decay_linear(ts_delta(anl10_roeff_2323,126),63))",6953aacfb3fa31ef6863ce58e96f1ef92a67d7e4e47f48c0d48c1742407827fd,fundamental,2026-08-01T06:41:39.128461+00:00,2026-08-01T06:42:22.114636+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_65f38d891312aaa6f0d8,"rank(ts_ir(anl14_mean_revenue_fy5,63))",086c20c3ac76e91fa668a84286b4616d2cc5fdb0abeaeb654b667db6ec098869,fundamental,2026-08-01T06:41:39.128461+00:00,2026-08-01T06:42:22.115635+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_f6411a47544cff526af2,"rank(ts_mean(ts_delta(anl15_ind_hist_eps_gro,1),126))",ef3c73f9ae2ffe5c2014074d2f17ee66de4b21e3a89251a9e8eb60eec7c95571,fundamental,2026-08-01T06:41:39.128461+00:00,2026-08-01T06:42:22.115635+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_54d59f4a5e5f7aebf97b,"rank(anl10_roeff_2323/ts_mean(anl10_roeff_2323,63))",d2b591fa2f1a47b43b08e83a965d9ddfa6dca90284b35d039199e2094e418463,fundamental,2026-08-01T06:41:39.128461+00:00,2026-08-01T06:42:59.916696+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_b954849c39fec6a0ae27,"rank(ts_mean(ts_delta(dividend,1),252))",69ea5562f0de279f297e3c519108766beebad4d5e7020a708b2a23aea1ae7393,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:18.509446+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_0b32b3f503a20455be82,"rank(ts_decay_linear(ts_delta(anl10_epsinnovation_score_fy1,252),126))",e3fc7d8c3f3bdd8b9601cacf89a6b9277eb0d7f5dce31f202dd841c8a38a0560,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:18.509446+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_499f0778c644b8e77564,"-rank(ts_delta(dividend,252))",3a63b0b6e0d83f2eab1d92f9d5b413881e9d908aec6c0df6026c518567bdbed6,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:18.509446+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_25f488c27667369d99cf,"rank(ts_rank(anl14_stddev_ebitda_fy1,126))",b07d20abaf7bf769c3e04399fd4ab0ce9bc26271bf7ff58d36f3bdf2efd66395,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:20.510601+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_d36292f4a6718c8b8e97,"rank(anl10_epsinnovation_score_fy1/ts_mean(anl10_epsinnovation_score_fy1,126))",ece868a0ab34b3cc9d496ec5a4016c5e96ed5bc1551cadcd8e8d58bf526a490e,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:20.510601+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_4f523269fb2815c6d479,"rank(ts_delta(ts_delta(anl14_stddev_ebitda_fy1,126),252))",5e315637c79396cc1c3c3a75780a27d71a50f89ae69b5d8c93563739e25c517d,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:20.510601+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_49d49da56f7351a37b2a,"rank(ts_ir(anl14_stddev_ebitda_fy1,126))",b3afbacdbd3aa3c9cee8222e63f1eb07939e3d30717f60db9452cc19c668a117,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:22.511660+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_42b7c5f8edf8ac24bfc6,"rank(ts_zscore(dividend,63))",e8087d0ced2f9ecffbec081a57e0906ec481d92d5e112c9c977f64c7273e6f66,fundamental,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:22.511660+00:00,dry_run_id,0.0,DRY_RUN,False,0,
candidate_cb41b73866dcc5444159,"rank(ts_zscore(close,10)-ts_zscore(anl14_actvalue_ebitda_fy0,10))",ba4e36c1683b068a29be466147ed920d9ff7da172c0e2e6a51c69b4a172b1106,momentum,2026-08-01T06:58:16.628453+00:00,2026-08-01T06:58:22.512663+00:00,dry_run_id,0.0,DRY_RUN,False,0,
