index,alpha_id,status,queue_status,check_passed,check_note,expression,profile,sharpe,fitness,turnover,returns,drawdown,metric_gate_pass,platform_non_self_pass,self_correlation_status,submission_candidate,platform_pass_evidence,platform_gate_reason,pass_proxy_reason,blocked_reason,simulation_id,failure_reasons
1,YPNK1J5l,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, industry)-0.5)*0.70+(-rank(ts_delta(close, 2)))*0.30",,2.51,1.53,0.3259,0.1212,0.0416,True,True,PENDING,True,,LOW_SHARPE:PASS:2.51/1.25; LOW_FITNESS:PASS:1.53/1.0; LOW_TURNOVER:PASS:0.3259/0.01; HIGH_TURNOVER:PASS:0.3259/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.77/1.09; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.51 > 1.25; Fitness 1.53 > 1.0; Turnover 32.59% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:2.51/1.25; LOW_FITNESS:PASS:1.53/1.0; LOW_TURNOVER:PASS:0.3259/0.01; HIGH_TURNOVER:PASS:0.3259/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.77/1.09; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
2.51
Turnover
32.59%
Fitness
1.53
Returns
12.12%
Drawdown
4.16%
Margin
0.00‱"
2,vR5MZNzr,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)*0.70+(-rank(ts_delta(close, 2)))*0.30",,2.45,1.41,0.2963,0.0982,0.0285,True,True,PENDING,True,,LOW_SHARPE:PASS:2.45/1.25; LOW_FITNESS:PASS:1.41/1.0; LOW_TURNOVER:PASS:0.2963/0.01; HIGH_TURNOVER:PASS:0.2963/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.43/1.06; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.45 > 1.25; Fitness 1.41 > 1.0; Turnover 29.63% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:2.45/1.25; LOW_FITNESS:PASS:1.41/1.0; LOW_TURNOVER:PASS:0.2963/0.01; HIGH_TURNOVER:PASS:0.2963/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.43/1.06; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
2.45
Turnover
29.63%
Fitness
1.41
Returns
9.82%
Drawdown
2.85%
Margin
0.00‱"
3,qMnXZ0pV,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, market)-0.5)*0.70+(-rank(ts_delta(close, 2)))*0.30",,2.42,1.91,0.2656,0.1661,0.053,True,True,PENDING,True,,LOW_SHARPE:PASS:2.42/1.25; LOW_FITNESS:PASS:1.91/1.0; LOW_TURNOVER:PASS:0.2656/0.01; HIGH_TURNOVER:PASS:0.2656/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:2.2/1.05; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.42 > 1.25; Fitness 1.91 > 1.0; Turnover 26.56% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:2.42/1.25; LOW_FITNESS:PASS:1.91/1.0; LOW_TURNOVER:PASS:0.2656/0.01; HIGH_TURNOVER:PASS:0.2656/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:2.2/1.05; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
2.42
Turnover
26.56%
Fitness
1.91
Returns
16.61%
Drawdown
5.30%
Margin
0.00‱"
4,3qzMvQXP,unsubmitted,not_queued:missing_core_metrics,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_neutralize(ts_rank(vwap/close, 126)-0.5, subindustry))*rank(ts_mean(volume, 63)/adv20)",near_pass_variant:primary,2.42,1.04,0.8154,0.1499,0.0641,,,PENDING,,,LOW_SHARPE:PASS:2.42/1.25; LOW_FITNESS:PASS:1.04/1.0; LOW_TURNOVER:PASS:0.8154/0.01; HIGH_TURNOVER:FAIL:0.8154/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.47/1.05; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.42 > 1.25; Fitness 1.04 > 1.0; Turnover 81.54% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=FAIL; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",turnover_at_or_above_70pct,3k74IM1Q54Bza1amKObLNb3,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Turnover of 81.54% is above cutoff of 70.00%.

Aggregate Data:
Sharpe
2.42
Turnover
81.54%
Fitness
1.04
Returns
14.99%
Drawdown
6.41%
Margin
0.00‱"
5,1YoMOjdR,unsubmitted,not_queued:missing_core_metrics,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_neutralize(ts_rank(vwap/close, 126)-0.5, subindustry))*rank(ts_mean(volume, 63)/(1+adv20))",near_pass_variant:primary,2.42,1.04,0.8154,0.1498,0.0641,,,PENDING,,,LOW_SHARPE:PASS:2.42/1.25; LOW_FITNESS:PASS:1.04/1.0; LOW_TURNOVER:PASS:0.8154/0.01; HIGH_TURNOVER:FAIL:0.8154/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.47/1.05; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.42 > 1.25; Fitness 1.04 > 1.0; Turnover 81.54% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=FAIL; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",turnover_at_or_above_70pct,3Q0scHaRt5a790T2LXaQ7nW,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Turnover of 81.54% is above cutoff of 70.00%.

Aggregate Data:
Sharpe
2.42
Turnover
81.54%
Fitness
1.04
Returns
14.98%
Drawdown
6.41%
Margin
0.00‱"
6,78JvaRWb,unsubmitted,not_queued:hard_fail,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_neutralize(ts_rank(vwap/close, 252)-0.5, subindustry))*rank(ts_mean(volume, 63)/(1+adv20))",near_pass_variant:primary:invert_retry,2.42,1.04,0.8153,0.1502,0.0532,,,PENDING,,,LOW_SHARPE:PASS:2.42/1.25; LOW_FITNESS:PASS:1.04/1.0; LOW_TURNOVER:PASS:0.8153/0.01; HIGH_TURNOVER:FAIL:0.8153/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.44/1.05; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.42 > 1.25; Fitness 1.04 > 1.0; Turnover 81.53% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=FAIL; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",turnover_at_or_above_70pct,1BDPEHcgn4J59nYkoLQrkce,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Turnover of 81.53% is above cutoff of 70.00%.

Aggregate Data:
Sharpe
2.42
Turnover
81.53%
Fitness
1.04
Returns
15.02%
Drawdown
5.32%
Margin
0.00‱"
7,vRdpbEnb,unsubmitted,not_queued:hard_fail,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_neutralize(ts_rank(vwap/close, 252)-0.5, subindustry))*rank(ts_mean(volume, 63)/adv20)",near_pass_variant:primary:invert_retry,2.42,1.04,0.8153,0.1502,0.0532,,,PENDING,,,LOW_SHARPE:PASS:2.42/1.25; LOW_FITNESS:PASS:1.04/1.0; LOW_TURNOVER:PASS:0.8153/0.01; HIGH_TURNOVER:FAIL:0.8153/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.43/1.05; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.42 > 1.25; Fitness 1.04 > 1.0; Turnover 81.53% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=FAIL; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",turnover_at_or_above_70pct,3L0k1A5pu5eBaz8MbcmL86F,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Turnover of 81.53% is above cutoff of 70.00%.

Aggregate Data:
Sharpe
2.42
Turnover
81.53%
Fitness
1.04
Returns
15.02%
Drawdown
5.32%
Margin
0.00‱"
8,npnMGv7q,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)*0.70+(-rank(ts_delta(close, 3)))*0.30",,2.41,1.5,0.2508,0.0969,0.0324,True,True,PENDING,True,,LOW_SHARPE:PASS:2.41/1.25; LOW_FITNESS:PASS:1.5/1.0; LOW_TURNOVER:PASS:0.2508/0.01; HIGH_TURNOVER:PASS:0.2508/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.28/1.04; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.41 > 1.25; Fitness 1.50 > 1.0; Turnover 25.08% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:2.41/1.25; LOW_FITNESS:PASS:1.5/1.0; LOW_TURNOVER:PASS:0.2508/0.01; HIGH_TURNOVER:PASS:0.2508/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.28/1.04; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
2.41
Turnover
25.08%
Fitness
1.50
Returns
9.69%
Drawdown
3.24%
Margin
0.00‱"
9,MPbR3pJM,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, industry)-0.5)*0.75+(-rank(ts_delta(close, 2)))*0.25",,2.4,1.56,0.2637,0.1116,0.0409,True,True,PENDING,True,,LOW_SHARPE:PASS:2.4/1.25; LOW_FITNESS:PASS:1.56/1.0; LOW_TURNOVER:PASS:0.2637/0.01; HIGH_TURNOVER:PASS:0.2637/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.69/1.04; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.40 > 1.25; Fitness 1.56 > 1.0; Turnover 26.37% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:2.4/1.25; LOW_FITNESS:PASS:1.56/1.0; LOW_TURNOVER:PASS:0.2637/0.01; HIGH_TURNOVER:PASS:0.2637/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.69/1.04; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
2.40
Turnover
26.37%
Fitness
1.56
Returns
11.16%
Drawdown
4.09%
Margin
0.00‱"
10,58LXrjgX,unsubmitted,not_queued:missing_core_metrics,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_neutralize(ts_rank(vwap/close, 126)-0.5, subindustry))*rank(ts_mean(volume, 126)/adv20)",near_pass_variant:primary,2.39,1.01,0.8161,0.1461,0.0631,,,PENDING,,,LOW_SHARPE:PASS:2.39/1.25; LOW_FITNESS:PASS:1.01/1.0; LOW_TURNOVER:PASS:0.8161/0.01; HIGH_TURNOVER:FAIL:0.8161/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.53/1.03; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 2.39 > 1.25; Fitness 1.01 > 1.0; Turnover 81.61% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=FAIL; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",turnover_at_or_above_70pct,PYMsH6l15cJ9Z1oSCUDcf3,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:FAIL; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Turnover of 81.61% is above cutoff of 70.00%.

Aggregate Data:
Sharpe
2.39
Turnover
81.61%
Fitness
1.01
Returns
14.61%
Drawdown
6.31%
Margin
0.00‱"
